AUSENCIA DE N,AREA CM.,PERI CM.,ANCH CM.,LARGO CM.,AADLH,PDLHA
NO,161,73,25,14,43,27
NO,139,74,15,13,35,25
NO,139,65,11,13,34,24
NO,246,87,18,16,43,17
NO,272,93,18,15,27,10
