AUSENCIA DE N,PIXELES BLANCOS,AREA P.,PERI P.,LARGO P.,ANCHO P.,PIXELES BLANCOS SEGMENTACION
NO,123870,123209,2035,542,956,33127
NO,152973,1538881,2645,585,616,38915
NO,130436,130527,2021,557,449,32067
NO,304262,304446,3256,696,825,53442
NO,332968,333118,3278,696,822,32903
